"cost","qaly",".model_names",".par_names",".par_value",".cost",".effect",".icer",".dcost",".deffect",".dref"
555298.6040837,14591.266741914,"standard","agecoef","-0.0262798",555298.6040837,14591.266741914,NA,NA,NA,NA
150352.224135753,14672.060409073,"new","agecoef","-0.0262798",150352.224135753,14672.060409073,-5012.10545563088,-404946.379947947,80.7936671589796,"standard"
164915.564613046,14669.1775906537,"standard","agecoef","-0.0471246",164915.564613046,14669.1775906537,NA,NA,NA,NA
43467.228688769,14693.1678746244,"new","agecoef","-0.0471246",43467.228688769,14693.1678746244,-5062.39676332119,-121448.335924277,23.9902839706701,"standard"
454660.886633181,14611.4708237105,"standard","constant","-5.075151",454660.886633181,14611.4708237105,NA,NA,NA,NA
122240.150161797,14677.6205183888,"new","constant","-5.075151",122240.150161797,14677.6205183888,-5025.27998183435,-332420.736471384,66.1496946783136,"standard"
202659.64258212,14661.6983876603,"standard","constant","-5.906719",202659.64258212,14661.6983876603,NA,NA,NA,NA
53552.1455044089,14691.1800913896,"new","constant","-5.906719",53552.1455044089,14691.1800913896,-5057.62823095195,-149107.497077711,29.4817037292687,"standard"
201310.421347924,14660.9541824107,"standard","lngamma","0.2791966",201310.421347924,14660.9541824107,NA,NA,NA,NA
53154.8844158978,14690.9896261493,"new","lngamma","0.2791966",53154.8844158978,14690.9896261493,-4932.69013176085,-148155.536932026,30.035443738514,"standard"
476137.49089147,14609.6273445741,"standard","lngamma","0.468997",476137.49089147,14609.6273445741,NA,NA,NA,NA
128455.148725844,14677.0663412313,"new","lngamma","0.468997",128455.148725844,14677.0663412313,-5155.50882130247,-347682.342165625,67.4389966571307,"standard"
304266.728553886,14641.5082592144,"standard","malecoef","0.550404",304266.728553886,14641.5082592144,NA,NA,NA,NA
80960.1804294806,14685.7738918843,"new","malecoef","0.550404",80960.1804294806,14685.7738918843,-5044.69347111515,-223306.548124405,44.2656326698561,"standard"
304266.728553886,14641.5082592144,"standard","malecoef","0.986668",304266.728553886,14641.5082592144,NA,NA,NA,NA
80960.1804294806,14685.7738918843,"new","malecoef","0.986668",80960.1804294806,14685.7738918843,-5044.69347111515,-223306.548124405,44.2656326698561,"standard"
304266.728553886,14641.5082592144,"standard","np1","-0.579311",304266.728553886,14641.5082592144,NA,NA,NA,NA
172563.557731093,14667.6630021669,"new","np1","-0.579311",172563.557731093,14667.6630021669,-5035.53680730874,-131703.170822792,26.1547429524562,"standard"
304266.728553886,14641.5082592144,"standard","np1","-2.109637",304266.728553886,14641.5082592144,NA,NA,NA,NA
37814.7285571631,14694.2816671771,"new","np1","-2.109637",37814.7285571631,14694.2816671771,-5048.98224850967,-266451.999996722,52.7734079626389,"standard"
304266.728553886,14641.5082592144,"standard","rr","0.121282",304266.728553886,14641.5082592144,NA,NA,NA,NA
37814.7335898082,14694.2816661855,"new","rr","0.121282",37814.7335898082,14694.2816661855,-5048.98224801056,-266451.994964077,52.7734069710914,"standard"
304266.728553886,14641.5082592144,"standard","rr","0.5602843",304266.728553886,14641.5082592144,NA,NA,NA,NA
172563.566988173,14667.6630003334,"new","rr","0.5602843",172563.566988173,14667.6630003334,-5035.53680638012,-131703.161565713,26.1547411189295,"standard"
